"YEAR","EXAM","REGION","REGISTERED","CLEAN","PASS","AVERAGE GPA","PERCENTAGE PASS"
"2014","CSEE","TANGA","11020","10084","5729","1.250857258","56.8128"
"2014","CSEE","PEMBA","3511","3450","2020","1.096844117","58.5507"
"2014","CSEE","UNGUJA","9600","9390","5722","1.394371304","60.9372"
"2014","CSEE","MANYARA","8478","7954","4935","1.303990209","62.0443"
"2014","CSEE","RUVUMA","6678","6189","4002","1.294900000","64.6631"
"2014","CSEE","MTWARA","3649","3519","2278","1.265324806","64.7343"
"2014","CSEE","SINGIDA","5499","5041","3265","1.345790000","64.7689"
"2014","CSEE","DODOMA","7971","7206","4822","1.315307216","66.9165"
"2014","CSEE","ARUSHA","16374","15760","10860","1.558601020","68.9086"
"2014","CSEE","LINDI","2293","2164","1493","1.275813861","68.9926"
"2014","CSEE","KATAVI","1541","1467","1029","1.335017647","70.1431"
"2014","CSEE","KAGERA","10857","10438","7415","1.474921100","71.0385"
"2014","CSEE","GEITA","5347","4907","3521","1.503397916","71.7546"
"2014","CSEE","SIMIYU","5119","4468","3209","1.405321428","71.8218"
"2014","CSEE","MARA ","8992","8312","5978","1.445493142","71.9201"
"2014","CSEE","MOROGORO","9649","8894","6399","1.462326635","71.9474"
"2014","CSEE","DAR ES SALAAM","25675","23535","17177","1.639905841","72.9849"
"2014","CSEE","MBEYA","22023","21069","15505","1.469147945","73.5915"
"2014","CSEE","IRINGA","9272","8857","6555","1.576804964","74.0093"
"2014","CSEE","KILIMANJARO","18715","18342","13654","1.614423076","74.4412"
"2014","CSEE","NJOMBE","5945","5789","4312","1.527242574","74.4861"
"2014","CSEE","KIGOMA","7655","7345","5495","1.464425342","74.8128"
"2014","CSEE","RUKWA","3649","3519","2655","1.427920987","75.4476"
"2014","CSEE","TABORA","5746","5312","4136","1.467758125","77.8614"
"2014","CSEE","MWANZA","16149","14840","11670","1.689288841","78.6388"
"2014","CSEE","PWANI","7328","7015","5560","1.609838888","79.2587"
"2014","CSEE","SHINYANGA","5855","5499","4501","1.592691269","81.8512"
