web-scraper-order,web-scraper-start-url,schoollınk,schoollınk-href,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,headıng,Stats
"1548662067-1532","https://matokeo.necta.go.tz/csee/csee.htm","S3759 MUTUKA","https://matokeo.necta.go.tz/csee/results/s3759.htm","S3759/0001","F","28","IV","CIV - 'F'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   PHY - 'F'   CHEM - 'D'   BIO - 'D'   B/MATH - 'F'","S3759 MUTUKA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 2;  DIV-IV = 15;  DIV-0 = 2"
"1548665635-2319","https://matokeo.necta.go.tz/csee/csee.htm","S2946 MSALE","https://matokeo.necta.go.tz/csee/results/s2946.htm","S2946/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'D'   ENGL - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S2946 MSALE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 1;  DIV-III = 4;  DIV-IV = 24;  DIV-0 = 4"
"1548673443-4107","https://matokeo.necta.go.tz/csee/csee.htm","S1038 J.K. NYERERE","https://matokeo.necta.go.tz/csee/results/s1038.htm","S1038/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   PHY - 'X'   BIO - 'F'   B/MATH - 'F'","S1038 J.K. NYERERE SECONDARY SCHOOL","DIV-I = 2;  DIV-II = 13;  DIV-III = 32;  DIV-IV = 135;  DIV-0 = 57"
"1548668303-2917","https://matokeo.necta.go.tz/csee/csee.htm","S2319 BONGA","https://matokeo.necta.go.tz/csee/results/s2319.htm","S2319/0001","F","29","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   LIT ENG - 'D'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S2319 BONGA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 6;  DIV-III = 14;  DIV-IV = 39;  DIV-0 = 17"
"1548663606-1870","https://matokeo.necta.go.tz/csee/csee.htm","S3401 NKAITI","https://matokeo.necta.go.tz/csee/results/s3401.htm","S3401/0001","F","29","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   BIO - 'D'   AGRI - 'D'   B/MATH - 'F'","S3401 NKAITI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 8;  DIV-III = 12;  DIV-IV = 55;  DIV-0 = 16"
"1548678528-5396","https://matokeo.necta.go.tz/csee/csee.htm","P1436 GEORGE KONGOWE  CENTRE","https://matokeo.necta.go.tz/csee/results/p1436.htm","P1436/0001","F","-","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'D'","P1436 GEORGE KONGOWE SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 2;  DIV-III = 8;  DIV-IV = 20;  DIV-0 = 8"
"1548656711-184","https://matokeo.necta.go.tz/csee/csee.htm","S5285 DOKAMAN","https://matokeo.necta.go.tz/csee/results/s5285.htm","S5285/0001","F","26","IV","CIV - 'D'   HIST - 'C'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   LIT ENG - 'D'   PHY - 'F'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S5285 DOKAMAN SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 4;  DIV-III = 27;  DIV-IV = 28;  DIV-0 = 0"
"1548662985-1733","https://matokeo.necta.go.tz/csee/csee.htm","S3540 KITOPE","https://matokeo.necta.go.tz/csee/results/s3540.htm","S3540/0001","F","32","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'D'   KISW - 'D'   ENGL - 'F'   ARABIC LANGUAGE - 'D'   BIO - 'F'   B/MATH - 'F'","S3540 KITOPE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 7;  DIV-IV = 68;  DIV-0 = 26"
"1548667481-2733","https://matokeo.necta.go.tz/csee/csee.htm","S2519 SWAYA","https://matokeo.necta.go.tz/csee/results/s2519.htm","S2519/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'   COMM - 'F'   B/KEEPING - 'F'","S2519 SWAYA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 3;  DIV-III = 3;  DIV-IV = 51;  DIV-0 = 17"
"1548672803-3966","https://matokeo.necta.go.tz/csee/csee.htm","S1194 BISMARCK","https://matokeo.necta.go.tz/csee/results/s1194.htm","S1194/0001","F","18","II","CIV - 'C'   HIST - 'C'   GEO - 'C'   E/D/KIISLAMU - 'C'   KISW - 'B'   ENGL - 'B'   PHY - 'D'   CHEM - 'D'   BIO - 'B'   B/MATH - 'D'","S1194 BISMARCK SECONDARY SCHOOL","DIV-I = 6;  DIV-II = 15;  DIV-III = 31;  DIV-IV = 9;  DIV-0 = 0"
